customerID,proba_churn,label_pred
4376-KFVRS,0.06956948,0
2754-SDJRD,0.65841967,1
9917-KWRBE,0.06846246,0
0365-GXEZS,0.28112274,0
9385-NXKDA,0.020557938,0
4686-UXDML,0.58991927,1
2227-JRSJX,0.51076394,1
4830-FAXFM,0.13991906,0
1830-IPXVJ,0.018952511,0
4690-LLKUA,0.35297236,0
5804-HYIEZ,0.32535875,0
2388-LAESQ,0.030088333,0
5533-RJFTJ,0.20384927,0
4706-AXVKM,0.61517876,1
0997-YTLNY,0.13992529,0
7971-HLVXI,0.045048136,0
7337-CINUD,0.024470935,0
1379-FRVEB,0.56086344,1
4753-PADAS,0.22758844,0
5701-GUXDC,0.050051343,0
7235-NXZCP,0.66332215,1
0668-OGMHD,0.22581495,0
2812-REYAT,0.039375443,0
8779-YIQQA,0.04582967,0
9701-CDXHR,0.23483267,0
7130-CTCUS,0.2004768,0
1894-IGFSG,0.40846467,0
0871-URUWO,0.6942868,1
0057-QBUQH,0.024385806,0
9611-CTWIH,0.7438864,1
8058-DMYRU,0.44632438,0
5351-QESIO,0.51488847,1
4302-ZYFEL,0.025574544,0
6134-KWTBV,0.012812508,0
2034-GDRCN,0.7438864,1
9544-PYPSJ,0.29717347,0
4208-UFFGW,0.47798195,0
9537-JALFH,0.014563872,0
4415-IJZTP,0.8484196,1
4701-MLJPN,0.15307617,0
7515-LODFU,0.016372863,0
4927-WWOOZ,0.81453526,1
4067-HLYQI,0.3165436,0
6184-DYUOB,0.19998595,0
9209-NWPGU,0.076676376,0
9851-KIELU,0.5746993,1
3199-XGZCY,0.7013905,1
4226-KKDON,0.27669033,0
1085-LDWAM,0.024708943,0
6825-UYPFK,0.29195192,0
1767-CJKBA,0.017559033,0
7181-BQYBV,0.82552594,1
0178-CIIKR,0.17021488,0
4256-ZWTZI,0.2532946,0
9537-VHDTA,0.39131147,0
2754-XBHTB,0.557274,1
5975-BAICR,0.095141724,0
3301-VKTGC,0.058850557,0
2877-VDUER,0.0667185,0
7717-BICXI,0.015834784,0
0562-FGDCR,0.010757767,0
3705-PSNGL,0.037180733,0
0048-LUMLS,0.13502903,0
6497-TILVL,0.17928292,0
2108-YKQTY,0.4333917,0
3658-KIBGF,0.48603335,0
5482-NUPNA,0.16879901,0
7410-KTVFV,0.24230912,0
9033-EOXWV,0.1657102,0
8821-XNHVZ,0.80618066,1
8224-KDLKN,0.0090771895,0
4825-FUREZ,0.022841318,0
7534-BFESC,0.5430036,1
9138-EFSMO,0.10674337,0
4227-OJHAL,0.04566607,0
7279-NMVJC,0.04614438,0
8591-TKMZH,0.10946506,0
9283-LZQOH,0.5317146,1
3594-IVHJZ,0.19998595,0
1945-XISKS,0.014433791,0
4359-INNWN,0.04310612,0
7649-SIJJF,0.020370742,0
9254-RBFON,0.29119313,0
0970-ETWGE,0.83948994,1
7762-ONLJY,0.04972809,0
6710-HSJRD,0.3838521,0
8873-GLDMH,0.64255846,1
9907-SWKKF,0.5791367,1
4658-HCOHW,0.4998271,0
9330-VOFSZ,0.13015254,0
2860-RANUS,0.44950926,0
6234-PFPXL,0.27761415,0
7205-BAIAD,0.017419152,0
3858-VOBET,0.52696395,1
5103-MHMHY,0.49616405,0
6119-SPUDB,0.026342085,0
9389-ACWBI,0.49986926,0
3454-JFUBC,0.015093646,0
1768-ZAIFU,0.7046313,1
7017-VFULY,0.17021488,0
9221-OTIVJ,0.6820896,1
2482-CZGBB,0.5844271,1
7018-WBJNK,0.48387763,0
3331-HQDTW,0.38331053,0
4695-VADHF,0.25666392,0
4086-WITJG,0.015214619,0
6297-NOOPG,0.11662556,0
8777-PVYGU,0.05188371,0
4378-MYPGO,0.11646354,0
9313-CDOGY,0.081373885,0
4121-AGSIN,0.030199185,0
0432-CAJZV,0.6673858,1
9097-ZUBYC,0.17083505,0
9638-JIQYA,0.51048005,1
1024-GUALD,0.68419445,1
8024-XNAFQ,0.03170645,0
7587-RZNME,0.55354786,1
1346-UFHAX,0.4388836,0
6374-NTQLP,0.03456283,0
6625-FLENO,0.016520644,0
7375-WMVMT,0.035952695,0
6910-HADCM,0.79717714,1
7401-JIXNM,0.02691551,0
7338-ERIVA,0.03746197,0
5376-DEQCP,0.8055094,1
0909-SELIE,0.022047902,0
5419-KLXBN,0.3868577,0
0365-TRTPY,0.24582335,0
6712-OAWRH,0.5042383,1
2428-ZMCTB,0.08501802,0
1963-VAUKV,0.31680614,0
9381-NDKME,0.28797042,0
3729-OWRVL,0.14620405,0
0895-LMRSF,0.14579555,0
2676-SSLTO,0.051853605,0
8495-PRWFH,0.3178105,0
9030-QGZNL,0.024314415,0
9972-NKTFD,0.11652091,0
7998-WNZEM,0.017244928,0
0979-PHULV,0.40030685,0
6445-TNRXS,0.08055439,0
9586-JGQKH,0.09572512,0
3966-HRMZA,0.58298916,1
5498-IBWPI,0.054401107,0
6823-SIDFQ,0.02714116,0
2323-ARSVR,0.10637071,0
5468-BPMMO,0.10999659,0
0486-HECZI,0.3721264,0
2178-PMGCJ,0.34637523,0
4660-IRIBM,0.3373753,0
9674-EHPPG,0.027832944,0
5606-AMZBO,0.46743587,0
0665-XHDJU,0.14295459,0
5402-HTOTQ,0.2880482,0
8258-GSTJK,0.7709274,1
3787-TRIAL,0.4251165,0
6175-IRFIT,0.48787174,0
6317-YPKDH,0.51727897,1
5692-FPTAH,0.54958373,1
5373-SFODM,0.37623706,0
0868-VJRDR,0.05525263,0
4079-VTGLK,0.12534876,0
1166-PQLGG,0.011756395,0
5296-BFCYD,0.015791006,0
6568-POCUI,0.0774608,0
2839-RFSQE,0.20392488,0
2188-SXWVT,0.04290099,0
8849-GYOKR,0.19608347,0
3623-FQBOX,0.11266049,0
2649-HWLYB,0.029737152,0
0599-XNYDO,0.33569255,0
2514-GINMM,0.8365651,1
8401-EMUWF,0.1591096,0
5766-ZJYBB,0.27299607,0
2604-IJPDU,0.43696356,0
2501-XWWTZ,0.4603714,0
6370-ZVHDV,0.014959785,0
3027-YNWZU,0.014095207,0
4526-ZJJTM,0.3540346,0
0440-QEXBZ,0.19812588,0
0330-IVZHA,0.55696535,1
9758-MFWGD,0.08738734,0
4229-CZMLL,0.7209648,1
0742-MOABM,0.30645406,0
4277-BWBML,0.011503463,0
5136-GFPMB,0.2866793,0
7520-HQWJU,0.115722276,0
6304-IJFSQ,0.49851543,0
0297-RBCSG,0.1352284,0
6013-BHCAW,0.03962383,0
4402-FTBXC,0.24823982,0
1471-GIQKQ,0.50852364,1
4283-FUTGF,0.56796,1
9548-LERKT,0.017002586,0
8059-UDZFY,0.40830538,0
0410-IPFTY,0.34693113,0
2478-EEWWM,0.3612189,0
4619-EVPHY,0.20188381,0
2277-DJJDL,0.44832993,0
2911-WDXMV,0.39977202,0
3639-XJHKQ,0.17618634,0
8173-RXAYP,0.020203901,0
4537-CIBHB,0.04663378,0
5442-BXVND,0.06881382,0
2308-STERM,0.09520546,0
7159-NOKYQ,0.10961154,0
6075-QMNRR,0.15612741,0
3694-GLTJM,0.16281915,0
9629-NHXFW,0.32018942,0
7167-PCEYD,0.015526729,0
2748-MYRVK,0.16362439,0
4223-WOZCM,0.42304346,0
6946-LMSQS,0.17682424,0
5469-NUJUR,0.025267815,0
6388-TABGU,0.034295272,0
1261-FWTTE,0.28797042,0
8590-YFFQO,0.021449259,0
0082-OQIQY,0.44964018,0
9465-RWMXL,0.52002776,1
2930-UOTMB,0.09789828,0
9128-CPXKI,0.111114524,0
0484-FFVBJ,0.1269797,0
1100-DDVRV,0.3151533,0
9313-QOLTZ,0.08903699,0
3338-CVVEH,0.6585971,1
1131-SUEKT,0.15781887,0
7602-DBTOU,0.01166969,0
1385-TQOZW,0.1808273,0
6892-XPFPU,0.61737686,1
4115-NZRKS,0.710725,1
5514-YQENT,0.1262227,0
6319-IEJWJ,0.51327926,1
8849-AYPTR,0.35087082,0
5893-PYOLZ,0.04228796,0
7180-PISOG,0.83977044,1
8443-ZRDBZ,0.76533085,1
9079-YEXQJ,0.356461,0
3780-YVMFA,0.29706118,0
6968-MHOMU,0.15705614,0
0899-LIIBW,0.45881754,0
3677-IYRBF,0.5439714,1
8393-DLHGA,0.465202,0
7691-XVTZH,0.071642466,0
5360-LJCNJ,0.14567195,0
3891-PUQOD,0.5368083,1
0952-KMEEH,0.5747089,1
4919-IKATY,0.60249346,1
9746-UGFAC,0.04310612,0
9108-EQPNQ,0.025510995,0
0531-ZZJWQ,0.4146663,0
8763-KIAFH,0.030735176,0
5863-OOKCL,0.11871974,0
2958-NHPPS,0.095682114,0
9530-GRMJG,0.05177408,0
1809-DMJHQ,0.32046154,0
0164-XAIRP,0.019038472,0
2926-JEJJC,0.05469107,0
1169-WCVAK,0.3020117,0
1217-VASWC,0.27253836,0
2452-KDRRH,0.4218682,0
6402-EJMWF,0.3571783,0
7663-CUXZB,0.12007368,0
4312-KFRXN,0.010778053,0
3011-WQKSZ,0.12611175,0
9747-DDZOS,0.7463316,1
2091-MJTFX,0.12424799,0
0388-EOPEX,0.5329394,1
3161-ONRWK,0.033942956,0
2587-EKXTS,0.39726508,0
9752-ZNQUT,0.5849989,1
9572-WUKSB,0.48534176,0
3836-FZSDJ,0.018785968,0
8805-JNRAZ,0.35961038,0
3069-SSVSN,0.16376702,0
8015-IHCGW,0.040712643,0
8132-YPVBX,0.61435705,1
0235-KGSLC,0.7099523,1
1302-UHBDD,0.4548085,0
3722-WPXTK,0.8305737,1
7531-GQHME,0.08501802,0
1335-NTIUC,0.5954158,1
9367-TCUYN,0.11444993,0
1536-HBSWP,0.48682126,0
8573-JGCZW,0.042060804,0
2694-CIUMO,0.51635677,1
2027-FECZV,0.73767537,1
9103-TCIHJ,0.19750813,0
1545-JFUML,0.06437602,0
0524-IAVZO,0.50670075,1
5519-TEEUH,0.03009909,0
6654-QGBZZ,0.33573806,0
2294-DMMUS,0.20430271,0
0017-IUDMW,0.03152647,0
5018-LXQQG,0.10619914,0
5808-TOTXO,0.057202652,0
1174-FGIFN,0.20253353,0
0730-KOAVE,0.35907063,0
1218-VKFPE,0.09307885,0
5313-FPXWG,0.032481983,0
2834-JKOOW,0.05636571,0
9430-NKQLY,0.010235058,0
0363-QJVFX,0.35068387,0
1658-TJVOA,0.52969575,1
6685-GBWJZ,0.04276553,0
6328-ZPBGN,0.68563265,1
4003-FUSHP,0.2048383,0
7690-KPNCU,0.071624674,0
2969-WGHQO,0.076633565,0
1855-CFULU,0.15978299,0
9788-YTFGE,0.13449627,0
8266-VBFQL,0.66954225,1
2325-NBPZG,0.5329394,1
9906-NHHVC,0.07406573,0
2541-YGPKE,0.06270871,0
5049-MUBWG,0.070099,0
2332-TODQS,0.034654483,0
4419-UJMUS,0.11955997,0
2233-TXSIU,0.06144522,0
6770-XUAGN,0.3820145,0
2919-HBCJO,0.54604906,1
9508-ILZDG,0.48139128,0
5442-BHQNG,0.55696535,1
7250-EQKIY,0.49616405,0
6838-HVLXG,0.10175582,0
9767-FFLEM,0.31501243,0
2245-ADZFJ,0.047805335,0
1150-WFARN,0.12004159,0
9054-FOWNV,0.56971616,1
7997-EASSD,0.07351091,0
7560-QJAVJ,0.027610064,0
2668-TZSPS,0.31680614,0
9139-WQQDY,0.20295909,0
6726-NNFWD,0.05334322,0
9330-DHBFL,0.048758745,0
5727-MYATE,0.014570893,0
2824-DXNKN,0.023850922,0
6166-ILMNY,0.49986926,0
5236-XMZJY,0.1321513,0
1709-EJDOX,0.015439817,0
4962-CHQPW,0.03567248,0
0301-FIDRB,0.017472338,0
1820-TQVEV,0.8055094,1
9115-YQHGA,0.15964067,0
1541-ETJZO,0.42031592,0
6230-BSUXY,0.83885276,1
6797-LNAQX,0.07167064,0
9588-YRFHY,0.01821498,0
1092-GANHU,0.45008805,0
5951-AOFIH,0.20774281,0
7029-RPUAV,0.58997315,1
4700-UBQMV,0.13010544,0
3594-UVONA,0.081105545,0
7750-EYXWZ,0.16116036,0
7054-ENNGU,0.21720167,0
0402-OAMEN,0.008579517,0
2195-VVRJF,0.22755736,0
8819-ZBYNA,0.10857175,0
7748-UMTRK,0.54730636,1
1741-WTPON,0.10165091,0
7209-JCUDS,0.6515325,1
2485-ITVKB,0.637097,1
9648-BCHKM,0.028859684,0
0743-HRVFF,0.15014395,0
2522-AHJXR,0.2683238,0
9143-CANJF,0.1382246,0
1444-VVSGW,0.19943401,0
6898-MDLZW,0.1973217,0
0074-HDKDG,0.04967134,0
3982-JGSFD,0.03964301,0
7928-VJYAB,0.55448115,1
1522-VVDMG,0.5753656,1
2665-NPTGL,0.5372901,1
8728-SKJLR,0.28416407,0
7733-UDMTP,0.3273757,0
0431-APWVY,0.16234504,0
5081-NWSUP,0.12705418,0
2746-DIJLO,0.1099048,0
7277-OZCGZ,0.35286608,0
5236-PERKL,0.13586405,0
2788-CJQAQ,0.0365116,0
3096-WPXBT,0.14120263,0
9962-BFPDU,0.33414003,0
2892-GESUL,0.024039341,0
9741-YLNTD,0.5999434,1
1205-WNWPJ,0.24494569,0
3173-NVMPX,0.34354267,0
9661-MHUMO,0.43167076,0
6000-APYLU,0.62009335,1
0048-PIHNL,0.038754277,0
9420-LOJKX,0.5265922,1
7061-OVMIM,0.028234113,0
5671-RQRLP,0.064001344,0
5129-JLPIS,0.46331626,0
5170-PTRKA,0.03746393,0
4819-HJPIW,0.21724103,0
8780-RSYYU,0.088087246,0
2335-GSODA,0.035989724,0
5696-CEIQJ,0.05753965,0
6169-PPETC,0.016145494,0
4237-RLAQD,0.54958373,1
7359-WWYJV,0.038193814,0
